"X","isbn","title","series_title","series_release_number","authors","publisher","language","description","num_pages","format","publication_date","rating_score","num_ratings","num_reviews","current_readers","want_to_read","price","url","main_genre","year"
2,"9780345446671","Beyond the Blue Event Horizon ","Heechee Saga","2","Frederik Pohl","Ballantine","English","In Book Two of the Heechee Saga, Robinette Broadhead is on his way to making a fortune by bankrolling an expedition to the Food Factory--a Heechee spaceship that can graze the cometary cloud and transfor the basic elements of the universe into untold quantities of food. But even as he gambles on the breakthrough technology, he is wracked with the guilt of losing his wife, poised forever at the ""event horizon"" of a black hole where Robin had abaondoned her. As more and more information comes back from the expedition, Robin grows ever hopeful that he can rescue his beloved Gelle-Klara Moynlin. After three and a years, the factory is discovered to work, and a human is found aboard. Robin's suffering may be just about over....
THE HEECHEE SAGA
Book Gateway
Book Beyond the Blue Event Horizon
Book Heechee Rendezvous
Book The Annals of the Heechee
From the Paperback edition.",336,"Paperback","1980-01-01",3.95,13307,339,181,3961,11.99,"https://www.goodreads.com/book/show/373399.Beyond_the_Blue_Event_Horizon","Science Fiction",1980
4,"9780425198773","Twice Shy","","","Dick Francis","G.P. Putnam's Sons","English","A computerized horse-betting system falls into Jonathan Derry's hands--and unless he returns it to the rightful owners, the odds of his survival are slim to none.",304,"Mass Market Paperback","1981-01-01",3.92,4188,174,162,642,8.99,"https://www.goodreads.com/book/show/103250.Twice_Shy","Mystery/Thriller",1981
11,"9780425203934","Proof","","","Dick Francis","G.P. Putnam's Sons","English","Wine merchant Tony Beach has expertly catered his latest society soiree, but the fun's over when a team of hit men crash the party…literally. The event leaves Tony with a bitter aftertaste of suspicion—and sets off a mystery that's an intoxicating blend of deception, intrigue, and murder.",368,"Mass Market Paperback","1984-09-24",4.08,7554,389,396,1407,8.99,"https://www.goodreads.com/book/show/8531.Proof","Mystery/Thriller",1984
20,"9780446365321","Sweet Starfire ","Lost Colony","1","Jayne Ann Krentz","Grand Central","English","PAPERBACK",384,"Mass Market Paperback","1985-01-01",3.96,3347,121,308,1981,4.99,"https://www.goodreads.com/book/show/1723927.Sweet_Starfire","Romance",1985
28,"9780425205815","Rules of Prey ","Lucas Davenport","1","John Sandford","G.P. Putnam's Sons","English","Welcome. You are about to meet Lucas Davenport, the police detective in Minneapolis, Minnesota, who does it his way. 
The ""maddog"" murderer who is terrorizing the Twin Cities is two things: insane and extremely intelligent. He kills for the pleasure of it and thoroughly enjoys placing elaborate obstacles to keep the police befuddled. Each clever move he makes is another point of pride. But when the brilliant Lieutenant Davenport--a dedicated cop and a serial killer's worst nightmare--is brought in to take up the investigation, maddog suddenly has an adversary worthy of his genius.
Librarian's note: the first five books in the Lucas Davenport series are #1, Rules of Prey, 1989; #2, Shadow Prey, 1990; #3, Eyes of Prey, 1991; #4, Silent Prey, 1992; and #5, Winter Prey, 1993.",479,"Mass Market Paperback","1989-07-24",4.11,86839,2865,4799,40100,9.99,"https://www.goodreads.com/book/show/37301.Rules_of_Prey","Mystery/Thriller",1989
34,"9780345460691","Time Bomb ","Alex Delaware","5","Jonathan Kellerman","Ballantine","English","Edgar Award winner Jonathan Kellerman once more explores the corruption of California and produces a novel of complex characterizations and nonstop suspense.
Psychologist Dr. Alex Delaware was called. Unfortunately, by the time he reached the school, the damage was done. A sniper had opened fire on a crowded playground, but was gunned down before any children were hurt. 
""Though a time bomb is ticking away at the heart of this novel, readers will forget to watch the clock once they begin it."" 'Chicago Sun Times.' 
While the TV news crews feasted on the scene, Alex began his therapy sessions with the traumatized children. But he couldn't escape the image of a slight teenager clutching an oversized rifle. What was behind the name and face? A would-be assassin, or just another victim beneath an indifferent California sky? 
Intrigued by a request from the sniper's father to conduct a ""psychological autopsy"" of his child, Alex begins to uncover a strange pattern of innocence, neglect, and loss. Then suddenly it is more than a pattern, it is a trail of blood. In the dead sniper's past was a dark and vicious plot. And in Alex Delaware's future is the stuff of grown-up nightmares: the face of real human evil.",496,"Paperback","1990-01-01",3.99,16863,369,1388,4185,5.99,"https://www.goodreads.com/book/show/185908.Time_Bomb","Mystery/Thriller",1990
36,"9780425184226","The Sum of All Fears ","Jack Ryan","6","Tom Clancy","Berkley","","How do you save the United States President from himself? What if the President is incompetent to deal with the greatest crisis of all? Jack Ryan never thought he would have to ask those questions as, the world order changing, he prepares the ground for the Middle Eastern peace plan that, at last, might be the one to work.
But too many groups have invested too much blood. Shunned by their erstwhile Soviet sponsors, increasingly isolated by the realignment of the Mideast, these terrorists have one more desperate card to play, requiring a degree of ruthlessness never before seen. With one terrible act, the world is plunged into an instant nuclear crisis -- and the floundering President is plunged into the ultimate nightmare. Forces collide. Shots are exchanged. What had seemed to be an isolated and horrible incident appears to each side as the incendiary mischief of the other. With the world poised on the brink of nuclear war, Ryan and his FBI counterpart, Dan Murray, frantically seek a solution before the chiefs of state lose control of themselves -- and the world.",914,"Mass Market Paperback","1991-08-14",4.06,62255,938,1797,13500,9.99,"https://www.goodreads.com/book/show/34993.The_Sum_of_All_Fears","Other",1991
38,"9780571209439","Cloudstreet","","","Tim Winton","Faber & Faber","English","The first volume of William Golding's Sea Trilogy.
Sailing to Australia in the early years of the nineteenth century, Edmund Talbot keeps a journal to amuse his godfather back in England. Full of wit and disdain, he records the mounting tensions on the ancient, stinking warship where officers, sailors, soldiers and emigrants jostle in the cramped spaces below decks. Then a single passenger, the obsequious Reverend Colley, attracts the animosity of the sailors, and in the seclusion of the fo'castle something happens to bring him into a 'hell of degradation', where shame is a force deadlier than the sea itself.",278,"Paperback","1980-01-01",3.57,4050,269,127,8131,8.82,"https://www.goodreads.com/book/show/343881.Cloudstreet","Other",1980
44,"9780425128169","The Tortilla Curtain","","","T. Coraghessan Boyle","Berkley","English","No one could understand why Colin and Roy were best friends. Colin was so shy; Roy was so popular. Colin was nervous around girls; Roy was a ladies’ man. Colin was fascinated by Roy — and Roy was fascinated with death. Then one day Roy asked his timid friend, “You ever killed anything?” And from that moment on, the two were bound together in a game too terrifying to imagine… and too irresistible to stop.
Includes an afterword by the author.",339,"Mass Market Paperback","1980-01-01",3.96,19940,571,1048,12700,0,"https://www.goodreads.com/book/show/24731.The_Tortilla_Curtain","Other",1980
46,"9780449225158","A Place Called Freedom","","","Ken Follett","Ballantine","English","Scotland, 1766. Sentenced to a life of misery in the brutal coal mines, twenty-one-year-old Mack McAsh hungers for escape. His only ally: the beautiful, highborn Lizzie Hallim, who is trapped in her own kind of hell. Though separated by politics and position, these two restless young people are bound by their passionate search for a place called freedom. 
  
 From the teeming streets of London to the infernal hold of a slave ship to a sprawling Virginia plantation, Ken Follett’s turbulent, unforgettable novel of liberty and revolution brings together a vivid cast of heroes and villains, lovers and rebels, hypocrites and hell-raisers—all propelled by destiny toward an epic struggle that will change their lives forever.",437,"Mass Market Paperback","1995-08-28",4.04,37599,1824,4886,11300,8.99,"https://www.goodreads.com/book/show/825509.A_Place_Called_Freedom","Other",1995
